1|9|1|1|TR : Diriliş: Ertuğrul|http://nettv-xcruiser.com:8000/images/c1L2Na6XgLZi9hxt5SGKr6y1xW_small.jpg|“O; Güneşi bayrak, göğü çadır eyleyip kısraklarını uçsuz bucaksız ovalara sürdü. Yağız yeri titretip, mavi göğü deldi. Pusatlarını yar eyleyip, ordularını gür kıldı. Daha çok denize, daha çok toprağa ilahi muştuyu taşıdı.Dünyanın iki hükümdara dar geldiğine inandı. Ve dünyayı bir hükümdara yar kıldı. Süleyman Şah oğlu Ertuğrul ümitlerin tükendiği bir çağda dirilişin adı oldu. ”Diriliş “Ertuğrul” , dünyanın kaderini belirleyen adamın hikayesi.|Nurettin Sönmez, Fahri Öztezcan, Engin Altan Düzyatan, Kaan Taşaner, Hülya Darcan, Esra Bilgiç, Didem Balçın, Burcu Kıratlı|Aksiyon & Macera / Dram / Savaş & Politik|355|Mehmet Bozdağ|2014-12-11|0|
2|9|2|2|30 AR : ليلة و ليلة|https://cima-now.com/wp-content/uploads/2018/05/%D9%85%D8%B3%D9%84%D8%B3%D9%84-30-%D9%84%D9%8A%D9%84%D8%A9-%D9%88%D9%84%D9%8A%D9%84%D8%A9-2018.jpg||||355|||0|
3|9|3|3|AR : 30 يوم|https://upload.wikimedia.org/wikipedia/ar/thumb/e/e8/%D9%85%D8%B3%D9%84%D8%B3%D9%84_30_%D9%8A%D9%88%D9%85.jpg/231px-%D9%85%D8%B3%D9%84%D8%B3%D9%84_30_%D9%8A%D9%88%D9%85.jpg|||Dram|355||2017-05-27|0|
4|9|4|4|AR : ابو عمر المصري|http://nettv-xcruiser.com:8000/images/kMkQmonkbv9pqqCGHxwEds706cl_small.jpg||||355||2018-05-17|0|
5|9|5|5|AR : عفاريت عدلى علام|http://nettv-xcruiser.com:8000/images/nNsgF61zjCzpj031pk2tmQ3x4Xo_small.jpg|||Dram / Komedi|355||2017-05-27|0|
6|9|6|6|AR : الحصان الاسود|http://img.3ain.net/ArticleImgs/2017/7/13/119132-%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86-%D8%B5%D8%A8%D8%B1%D9%89-%D8%B9%D9%84%D9%89-%D8%A8%D9%88%D8%B3%D8%AA%D8%B1-%D8%A7%D9%84%D8%AD%D8%B5%D8%A7%D9%86-%D8%A7%D9%84%D8%A7%D8%B3%D9%88%D8%AF.jpg|||Dram|355||2017-05-27|0|
7|9|7|7|AR : الرحلة|http://shahid4u.me/wp-content/uploads/2018/05/el-rehla.jpg||||355||2018-05-17|0|
8|9|8|8|AR : أرض النفاق|http://photo.elcinema.com.s3.amazonaws.com/uploads/_315x420_77f0e4bea913d5ea70d19b3bfa1c37eebffcd21422bf84704bb081ac5f6a2758.jpg||Mohamed Heneidi||355||2018-05-17|0|
9|9|9|9|AR : أيوب|http://photo.elcinema.com.s3.amazonaws.com/uploads/_315x420_b84fdc91cfab52e9b790ddeec25862f565a73b6ab46d2d820f609c78192b3e25.jpg||||355||2018-05-17|0|
10|9|10|10|AR : عزمي وأشجان|http://photo.elcinema.com.s3.amazonaws.com/uploads/_315x420_f4bbaa463ee429b4fa73b0c40cb84a583256afc23a3e80d337e4906d2a829a3e.jpg||||355||2018-05-17|0|
